RunId;iteration;Step;initial_no_robots;grid_size;robot_type_str;view_radius;view_angle;seed;factor_distance;factor_size;Explored;Explored_fields;Step_Count_All_Agents
2;0;0;1;40;RandomWalkRobot;1;45;55;1.0;0.25;0.0;0;0
2;0;25;1;40;RandomWalkRobot;1;45;55;1.0;0.25;2500.0;25;19
2;0;50;1;40;RandomWalkRobot;1;45;55;1.0;0.25;4100.0;41;40
2;0;75;1;40;RandomWalkRobot;1;45;55;1.0;0.25;4700.0;47;59
2;0;100;1;40;RandomWalkRobot;1;45;55;1.0;0.25;7300.0;73;79
2;0;125;1;40;RandomWalkRobot;1;45;55;1.0;0.25;8100.0;81;100
2;0;150;1;40;RandomWalkRobot;1;45;55;1.0;0.25;9100.0;91;111
2;0;175;1;40;RandomWalkRobot;1;45;55;1.0;0.25;11400.0;114;131
2;0;200;1;40;RandomWalkRobot;1;45;55;1.0;0.25;13300.0;133;153
2;0;225;1;40;RandomWalkRobot;1;45;55;1.0;0.25;13800.0;138;176
2;0;250;1;40;RandomWalkRobot;1;45;55;1.0;0.25;15000.0;150;191
2;0;275;1;40;RandomWalkRobot;1;45;55;1.0;0.25;15900.0;159;208
2;0;300;1;40;RandomWalkRobot;1;45;55;1.0;0.25;16700.0;167;229
2;0;325;1;40;RandomWalkRobot;1;45;55;1.0;0.25;19800.0;198;248
2;0;350;1;40;RandomWalkRobot;1;45;55;1.0;0.25;22500.0;225;270
2;0;375;1;40;RandomWalkRobot;1;45;55;1.0;0.25;23800.0;238;291
2;0;400;1;40;RandomWalkRobot;1;45;55;1.0;0.25;24000.0;240;312
2;0;425;1;40;RandomWalkRobot;1;45;55;1.0;0.25;24000.0;240;331
2;0;450;1;40;RandomWalkRobot;1;45;55;1.0;0.25;24900.0;249;350
2;0;475;1;40;RandomWalkRobot;1;45;55;1.0;0.25;25100.0;251;369
2;0;500;1;40;RandomWalkRobot;1;45;55;1.0;0.25;25900.0;259;388
2;0;525;1;40;RandomWalkRobot;1;45;55;1.0;0.25;26900.0;269;406
2;0;550;1;40;RandomWalkRobot;1;45;55;1.0;0.25;29000.0;290;421
2;0;575;1;40;RandomWalkRobot;1;45;55;1.0;0.25;29800.0;298;441
2;0;600;1;40;RandomWalkRobot;1;45;55;1.0;0.25;30600.0;306;462
2;0;625;1;40;RandomWalkRobot;1;45;55;1.0;0.25;31300.0;313;480
2;0;650;1;40;RandomWalkRobot;1;45;55;1.0;0.25;32500.0;325;496
2;0;675;1;40;RandomWalkRobot;1;45;55;1.0;0.25;33700.0;337;513
2;0;700;1;40;RandomWalkRobot;1;45;55;1.0;0.25;34600.0;346;531
2;0;725;1;40;RandomWalkRobot;1;45;55;1.0;0.25;34800.0;348;548
2;0;750;1;40;RandomWalkRobot;1;45;55;1.0;0.25;34800.0;348;560
2;0;775;1;40;RandomWalkRobot;1;45;55;1.0;0.25;34800.0;348;577
2;0;800;1;40;RandomWalkRobot;1;45;55;1.0;0.25;35900.0;359;596
2;0;825;1;40;RandomWalkRobot;1;45;55;1.0;0.25;36100.0;361;618
2;0;850;1;40;RandomWalkRobot;1;45;55;1.0;0.25;36200.0;362;636
2;0;875;1;40;RandomWalkRobot;1;45;55;1.0;0.25;36400.0;364;654
2;0;900;1;40;RandomWalkRobot;1;45;55;1.0;0.25;36400.0;364;673
2;0;925;1;40;RandomWalkRobot;1;45;55;1.0;0.25;36400.0;364;696
2;0;950;1;40;RandomWalkRobot;1;45;55;1.0;0.25;38800.0;388;715
2;0;975;1;40;RandomWalkRobot;1;45;55;1.0;0.25;41200.0;412;734
2;0;1000;1;40;RandomWalkRobot;1;45;55;1.0;0.25;42300.0;423;746
1;0;0;1;40;RandomWalkRobot;1;45;55;1.0;0.1;0.0;0;0
1;0;25;1;40;RandomWalkRobot;1;45;55;1.0;0.1;2500.0;25;19
1;0;50;1;40;RandomWalkRobot;1;45;55;1.0;0.1;4100.0;41;40
1;0;75;1;40;RandomWalkRobot;1;45;55;1.0;0.1;4700.0;47;59
1;0;100;1;40;RandomWalkRobot;1;45;55;1.0;0.1;7300.0;73;79
1;0;125;1;40;RandomWalkRobot;1;45;55;1.0;0.1;8100.0;81;100
1;0;150;1;40;RandomWalkRobot;1;45;55;1.0;0.1;9100.0;91;111
1;0;175;1;40;RandomWalkRobot;1;45;55;1.0;0.1;11400.0;114;131
1;0;200;1;40;RandomWalkRobot;1;45;55;1.0;0.1;13300.0;133;153
1;0;225;1;40;RandomWalkRobot;1;45;55;1.0;0.1;13800.0;138;176
1;0;250;1;40;RandomWalkRobot;1;45;55;1.0;0.1;15000.0;150;191
1;0;275;1;40;RandomWalkRobot;1;45;55;1.0;0.1;15900.0;159;208
1;0;300;1;40;RandomWalkRobot;1;45;55;1.0;0.1;16700.0;167;229
1;0;325;1;40;RandomWalkRobot;1;45;55;1.0;0.1;19800.0;198;248
1;0;350;1;40;RandomWalkRobot;1;45;55;1.0;0.1;22500.0;225;270
1;0;375;1;40;RandomWalkRobot;1;45;55;1.0;0.1;23800.0;238;291
1;0;400;1;40;RandomWalkRobot;1;45;55;1.0;0.1;24000.0;240;312
1;0;425;1;40;RandomWalkRobot;1;45;55;1.0;0.1;24000.0;240;331
1;0;450;1;40;RandomWalkRobot;1;45;55;1.0;0.1;24900.0;249;350
1;0;475;1;40;RandomWalkRobot;1;45;55;1.0;0.1;25100.0;251;369
1;0;500;1;40;RandomWalkRobot;1;45;55;1.0;0.1;25900.0;259;388
1;0;525;1;40;RandomWalkRobot;1;45;55;1.0;0.1;26900.0;269;406
1;0;550;1;40;RandomWalkRobot;1;45;55;1.0;0.1;29000.0;290;421
1;0;575;1;40;RandomWalkRobot;1;45;55;1.0;0.1;29800.0;298;441
1;0;600;1;40;RandomWalkRobot;1;45;55;1.0;0.1;30600.0;306;462
1;0;625;1;40;RandomWalkRobot;1;45;55;1.0;0.1;31300.0;313;480
1;0;650;1;40;RandomWalkRobot;1;45;55;1.0;0.1;32500.0;325;496
1;0;675;1;40;RandomWalkRobot;1;45;55;1.0;0.1;33700.0;337;513
1;0;700;1;40;RandomWalkRobot;1;45;55;1.0;0.1;34600.0;346;531
1;0;725;1;40;RandomWalkRobot;1;45;55;1.0;0.1;34800.0;348;548
1;0;750;1;40;RandomWalkRobot;1;45;55;1.0;0.1;34800.0;348;560
1;0;775;1;40;RandomWalkRobot;1;45;55;1.0;0.1;34800.0;348;577
1;0;800;1;40;RandomWalkRobot;1;45;55;1.0;0.1;35900.0;359;596
1;0;825;1;40;RandomWalkRobot;1;45;55;1.0;0.1;36100.0;361;618
1;0;850;1;40;RandomWalkRobot;1;45;55;1.0;0.1;36200.0;362;636
1;0;875;1;40;RandomWalkRobot;1;45;55;1.0;0.1;36400.0;364;654
1;0;900;1;40;RandomWalkRobot;1;45;55;1.0;0.1;36400.0;364;673
